,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
397,50000398,8.4,7.5,,,4.8,,7.0,7.25,6.5
398,50000399,7.8,8.5,8.75,8.5,6.8,8.75,,,
399,50000400,6.4,5.25,5.5,8.0,4.0,8.0,,,
400,50000401,5.8,5.0,5.0,4.75,4.0,7.0,,,
401,50000402,6.4,5.25,,,3.6,,6.0,4.5,3.25
402,50000403,5.6,6.0,,,2.6,,3.75,5.75,4.25
403,50000404,8.0,7.75,,,4.2,,6.0,6.0,5.75
404,50000405,8.0,7.25,,,7.8,,7.25,7.25,4.75
405,50000406,7.4,6.0,,,5.6,,6.25,6.75,5.0
406,50000407,7.6,7.75,9.25,10.0,9.0,9.25,,,
407,50000408,7.2,6.75,,,7.0,,6.25,6.5,6.0
408,50000409,4.8,6.0,5.25,6.25,3.4,6.5,,,
409,50000410,7.8,5.5,,,6.2,,6.0,8.0,4.25
410,50000411,8.6,6.0,,,4.4,,6.5,8.0,8.0
411,50000412,4.2,5.5,6.5,6.5,4.0,7.5,,,
412,50000413,8.6,6.5,,,6.0,,6.75,8.75,7.5
413,50000414,5.2,5.25,,,3.2,,4.5,3.5,4.75
414,50000415,6.8,7.0,7.0,6.5,5.4,8.0,,,
